rider_id,months_on_zypp,days_worked_per_month,deliveries_per_month,monthly_earnings_inr,earnings_volatility,work_consistency,ev_usage_hours_per_month,missed_payments,on_time_payment_rate,rental_months_completed,loan_amount_inr,loan_term_months,monthly_emi_inr,work_score_rule_based,loan_repaid
R100001,12,23,556,16905,0.254,0.845,108.3,1,0.802,8,61000,18,3796,71.6,0
R100002,3,20,493,13942,0.256,0.858,126.9,1,0.862,2,70000,12,6533,65.3,0
R100003,32,23,577,19291,0.303,0.799,124.0,1,0.906,24,65000,36,2022,76.7,1
R100004,27,25,538,14414,0.297,0.796,143.8,1,0.856,15,53000,24,2473,75.5,0
R100005,12,24,798,22737,0.186,0.901,119.7,0,0.909,10,94000,24,4387,83.3,0
R100006,37,26,652,18102,0.128,0.931,158.8,0,0.956,22,79000,24,3687,91.6,1
R100007,6,26,710,20909,0.099,0.754,107.1,1,0.894,3,118000,24,5507,78.5,0
R100008,8,24,602,21589,0.42,0.674,120.7,1,0.843,5,110000,24,5133,57.6,1
R100009,5,24,545,16106,0.39,0.949,139.8,0,0.964,3,71000,30,2651,63.6,0
R100010,16,29,765,22926,0.252,0.969,152.1,0,0.955,11,71000,24,3313,84.0,0
R100011,34,18,437,9731,0.243,0.852,123.9,2,0.768,32,57000,36,1773,76.3,0
R100012,20,23,562,9133,0.256,0.918,124.7,1,0.836,9,45000,18,2800,78.5,1
R100013,5,27,648,16961,0.152,0.924,162.1,0,0.935,5,77000,24,3593,78.0,1
R100014,7,22,526,8033,0.248,0.725,123.2,1,0.867,4,72000,36,2240,65.3,1
R100015,18,25,516,14712,0.226,0.992,131.5,1,0.958,10,81000,24,3780,81.1,0
R100016,5,18,422,11554,0.337,0.765,112.1,1,0.842,2,52000,30,1941,57.7,1
R100017,10,20,452,21625,0.268,0.836,103.6,3,0.716,7,120000,24,5600,65.7,0
R100018,3,18,400,15064,0.282,0.784,136.5,1,0.9,2,97000,36,3018,59.6,0
R100019,8,23,434,8046,0.08,0.913,121.0,1,0.9,4,54000,30,2016,77.8,0
R100020,12,23,598,14512,0.376,0.75,142.3,1,0.875,7,52000,24,2427,64.2,1
R100021,12,27,634,23959,0.121,0.978,165.7,1,0.996,10,67000,36,2084,85.7,1
R100022,15,17,456,17000,0.322,0.663,110.9,1,0.918,14,72000,18,4480,63.8,0
R100023,26,25,633,18814,0.265,0.875,150.2,0,0.943,14,105000,24,4900,82.4,0
R100024,21,25,631,19957,0.262,0.843,168.3,2,0.849,10,78000,24,3640,78.7,1
R100025,20,24,658,22454,0.274,0.822,141.8,1,0.92,17,71000,36,2209,78.2,1
R100026,18,26,682,16051,0.321,0.871,123.2,0,0.825,9,49000,30,1829,75.5,1
R100027,12,19,397,8305,0.32,0.651,96.6,2,0.701,6,64000,18,3982,58.2,0
R100028,10,17,570,18238,0.243,0.857,132.9,1,0.947,8,89000,30,3323,72.9,0
R100029,21,19,457,9934,0.236,0.813,129.9,2,0.805,16,65000,12,6067,75.0,0
R100030,18,30,606,21052,0.275,0.865,170.1,0,0.926,17,51000,12,4760,77.1,1
R100031,6,23,468,17458,0.299,0.76,91.1,1,0.871,4,72000,30,2688,61.6,1
R100032,16,23,708,23599,0.199,0.942,168.5,0,0.947,12,84000,24,3920,84.3,0
R100033,12,21,557,12141,0.308,0.694,117.3,1,0.819,6,81000,12,7560,65.2,1
R100034,14,21,413,8000,0.381,0.709,113.7,2,0.777,9,96000,30,3584,58.9,0
R100035,23,29,707,17059,0.231,0.796,146.0,1,0.922,17,74000,24,3453,83.4,1
R100036,6,20,363,11480,0.303,0.864,108.2,1,0.891,4,97000,24,4527,61.8,0
R100037,6,17,356,9284,0.332,0.725,109.8,2,0.705,3,61000,24,2847,54.5,0
R100038,13,24,629,15058,0.176,0.837,167.8,0,0.971,7,69000,30,2576,79.5,1
R100039,7,20,450,14785,0.286,0.916,145.3,2,0.883,5,80000,12,7467,66.4,1
R100040,3,22,516,15982,0.302,0.891,158.2,0,0.834,2,52000,24,2427,63.7,1
R100041,4,24,505,16021,0.276,0.79,127.9,1,0.902,2,75000,24,3500,63.8,0
R100042,37,23,647,14578,0.202,1.0,159.9,0,0.911,21,60000,24,2800,88.9,1
R100043,12,23,525,18144,0.238,0.814,146.8,1,0.812,11,82000,24,3827,70.6,0
R100044,16,21,366,11171,0.531,0.524,98.2,2,0.699,8,82000,12,7653,45.6,0
R100045,9,16,416,13142,0.243,0.787,87.7,2,0.843,7,40000,30,1493,65.8,0
R100046,22,22,478,12239,0.217,0.781,109.2,1,0.751,10,103000,30,3845,75.5,0
R100047,1,22,453,9646,0.148,0.991,152.8,0,0.976,1,63000,24,2940,73.2,0
R100048,29,28,559,21666,0.258,0.901,159.8,0,0.891,22,73000,24,3407,81.0,0
R100049,11,22,322,8000,0.297,0.659,81.0,2,0.845,10,51000,18,3173,58.7,0
R100050,7,19,609,17154,0.225,0.721,106.8,1,0.956,4,64000,18,3982,69.4,0
R100051,26,24,691,22973,0.25,0.886,157.7,0,0.925,16,88000,24,4107,84.7,1
R100052,15,26,519,16048,0.144,0.808,121.0,1,0.877,12,54000,18,3360,78.2,1
R100053,10,23,496,17030,0.293,0.754,131.7,1,0.914,5,81000,36,2520,65.6,1
R100054,3,28,919,27426,0.325,0.814,137.6,1,0.939,2,74000,30,2763,69.0,0
R100055,11,20,550,15835,0.297,0.839,106.8,2,0.879,9,86000,24,4013,68.7,1
R100056,12,25,782,22272,0.304,0.776,127.5,2,0.761,11,40000,30,1493,72.6,1
R100057,14,23,423,8000,0.45,0.454,87.6,2,0.689,7,100000,18,6222,47.8,0
R100058,6,26,584,15406,0.398,0.825,123.4,1,0.914,5,93000,36,2893,61.4,1
R100059,6,23,639,19736,0.227,0.869,134.6,0,0.904,5,76000,24,3547,72.9,1
R100060,4,19,427,9521,0.292,0.752,135.3,2,0.823,4,99000,24,4620,59.2,0
R100061,7,25,564,13289,0.344,0.949,147.1,1,0.874,4,90000,24,4200,66.8,0
R100062,17,16,325,8000,0.424,0.528,70.7,4,0.582,12,92000,18,5724,49.8,0
R100063,33,9,165,8000,0.445,0.558,75.2,4,0.574,19,92000,30,3435,49.6,0
R100064,9,17,325,8000,0.512,0.691,66.6,2,0.765,8,56000,36,1742,46.1,0
R100065,14,21,482,13484,0.372,0.83,140.0,2,0.838,13,70000,18,4356,64.5,0
R100066,4,28,564,19510,0.173,0.834,139.0,1,0.869,2,75000,12,7000,71.3,0
R100067,4,27,763,24050,0.297,0.689,130.0,1,0.777,2,62000,12,5787,65.2,1
R100068,21,22,572,15731,0.319,0.904,139.7,1,0.874,14,83000,30,3099,76.3,0
R100069,1,18,387,8109,0.287,0.849,121.5,2,0.814,1,76000,18,4729,58.9,1
R100070,16,26,643,13209,0.195,0.844,149.3,0,0.995,13,79000,30,2949,80.8,1
R100071,16,20,450,10567,0.236,0.758,146.1,2,0.785,12,51000,36,1587,69.8,0
R100072,22,25,581,18291,0.35,0.717,97.4,1,0.791,13,49000,18,3049,69.6,0
R100073,14,18,367,8000,0.482,0.702,119.1,3,0.759,12,79000,24,3687,52.2,0
R100074,3,20,430,9140,0.294,0.867,115.2,2,0.815,3,69000,12,6440,61.3,0
R100075,25,25,601,12773,0.29,0.892,164.8,0,0.903,17,59000,30,2203,80.3,0
R100076,8,25,588,15939,0.127,0.945,155.5,0,0.936,5,68000,12,6347,79.9,1
R100077,23,22,784,22376,0.188,0.854,110.8,1,0.853,18,74000,24,3453,88.5,1
R100078,20,21,318,10707,0.198,0.925,142.6,1,0.863,19,78000,30,2912,76.2,1
R100079,14,17,347,12249,0.335,0.8,132.1,3,0.755,7,80000,36,2489,61.6,0
R100080,20,25,539,13004,0.269,0.832,137.6,2,0.874,18,66000,18,4107,75.8,0
R100081,27,21,484,15876,0.211,0.726,126.3,1,0.766,16,66000,24,3080,76.0,0
R100082,15,21,519,17463,0.226,0.835,157.0,2,0.856,11,53000,24,2473,74.4,0
R100083,19,24,553,19662,0.288,0.779,137.0,1,0.825,13,61000,24,2847,72.4,0
R100084,6,18,458,11366,0.268,0.858,131.2,1,0.858,2,67000,18,4169,65.0,1
R100085,18,24,456,13693,0.212,0.822,169.0,0,0.973,11,53000,24,2473,76.0,1
R100086,5,20,337,8000,0.405,0.723,114.4,2,0.807,5,40000,36,1244,50.9,0
R100087,13,26,650,12407,0.171,0.897,123.3,1,0.875,7,49000,24,2287,80.8,1
R100088,7,20,548,8657,0.417,0.796,130.6,2,0.858,6,87000,12,8120,58.7,0
R100089,8,26,673,17465,0.127,0.817,136.3,1,0.931,4,78000,18,4853,79.2,0
R100090,29,21,547,12326,0.333,0.732,135.6,2,0.877,16,81000,30,3024,72.4,1
R100091,11,26,672,14923,0.348,0.756,114.7,1,0.881,8,67000,30,2501,67.5,0
R100092,13,30,640,20905,0.141,0.82,166.0,0,0.974,9,59000,24,2753,81.2,0
R100093,19,23,511,14729,0.337,0.886,161.4,0,0.897,18,102000,24,4760,71.9,1
R100094,12,21,550,14622,0.303,0.738,108.0,1,0.802,10,90000,18,5600,66.2,0
R100095,18,20,427,8000,0.35,0.667,109.6,2,0.757,13,95000,30,3547,61.8,0
R100096,19,16,351,8834,0.395,0.74,116.1,2,0.792,15,40000,24,1867,60.4,1
R100097,8,27,738,24105,0.202,0.989,129.8,0,0.902,7,102000,24,4760,80.6,1
R100098,5,18,549,13432,0.303,0.77,108.7,2,0.718,3,78000,36,2427,61.4,1
R100099,12,19,335,11324,0.271,0.885,127.1,1,0.829,10,67000,24,3127,66.4,1
R100100,8,21,362,9019,0.293,0.71,152.1,1,0.868,6,84000,24,3920,59.4,0
R100101,20,19,493,17189,0.269,0.779,119.0,3,0.839,15,92000,36,2862,72.7,0
R100102,8,25,544,16353,0.306,0.804,155.8,1,0.86,5,87000,24,4060,65.6,0
R100103,27,26,662,20646,0.161,0.953,148.2,0,0.965,23,87000,24,4060,90.8,1
R100104,27,22,455,12947,0.405,0.557,76.6,6,0.596,19,70000,12,6533,59.2,0
R100105,25,18,337,8000,0.308,0.737,84.7,4,0.828,18,55000,24,2567,68.1,0
R100106,17,23,518,14058,0.155,0.758,121.8,1,0.858,15,69000,36,2147,77.0,1
R100107,7,24,381,8950,0.216,0.889,134.5,0,0.875,4,104000,24,4853,67.7,1
R100108,9,15,412,11764,0.387,0.777,95.0,2,0.782,7,61000,30,2277,57.1,0
R100109,17,28,658,18495,0.372,0.717,126.7,1,0.878,8,84000,30,3136,68.2,1
R100110,10,20,472,8000,0.436,0.716,97.6,1,0.799,5,44000,36,1369,55.5,0
R100111,10,21,374,11264,0.251,0.948,122.5,1,0.851,5,69000,36,2147,68.8,1
R100112,26,22,442,13659,0.298,0.84,121.5,1,0.839,21,92000,30,3435,74.0,1
R100113,4,22,483,11348,0.299,0.751,115.9,2,0.756,2,54000,12,5040,59.3,0
R100114,17,22,655,20605,0.287,0.815,161.6,1,0.876,16,58000,36,1804,75.4,0
R100115,16,25,696,15935,0.138,0.832,149.0,0,0.935,8,83000,36,2582,84.5,1
R100116,13,26,571,16642,0.193,0.846,110.7,3,0.846,6,72000,24,3360,76.0,0
R100117,5,26,717,22301,0.088,0.913,157.9,2,0.895,5,79000,18,4916,82.6,0
R100118,9,23,532,20886,0.289,0.714,141.8,1,0.819,7,89000,24,4153,64.1,1
R100119,13,22,605,17309,0.269,0.809,138.6,1,0.857,10,49000,24,2287,71.9,1
R100120,5,16,378,10988,0.238,0.9,133.7,1,0.846,4,54000,24,2520,65.1,0
R100121,23,23,645,16007,0.174,0.882,133.9,3,0.841,19,96000,30,3584,85.9,0
R100122,12,21,496,21031,0.308,0.729,121.9,1,0.832,10,60000,18,3733,64.3,1
R100123,11,24,533,9744,0.213,0.972,134.0,0,0.836,7,90000,36,2800,76.0,1
R100124,18,18,335,9530,0.278,0.685,115.2,2,0.81,14,72000,30,2688,64.4,0
R100125,29,25,587,19105,0.184,0.985,129.1,0,0.88,21,112000,24,5227,87.6,1
R100126,9,25,729,23869,0.241,0.978,149.0,1,0.877,9,71000,12,6627,78.6,1
R100127,4,17,371,12005,0.487,0.411,82.4,3,0.686,2,97000,36,3018,37.7,0
R100128,32,17,346,8000,0.421,0.482,101.4,3,0.613,18,65000,30,2427,53.9,0
R100129,14,23,638,21584,0.13,0.903,137.1,0,0.914,9,73000,24,3407,83.5,1
R100130,39,24,374,8617,0.223,0.791,138.5,1,0.859,21,78000,24,3640,75.2,1
R100131,27,19,541,16457,0.171,0.821,144.2,1,0.857,21,93000,30,3472,82.8,0
R100132,6,14,309,8000,0.33,0.718,76.8,2,0.716,3,79000,24,3687,53.7,0
R100133,10,24,642,20914,0.343,0.769,113.8,1,0.821,8,112000,24,5227,66.0,1
R100134,1,22,583,20551,0.188,0.765,129.6,1,0.852,1,101000,30,3771,67.3,1
R100135,7,26,534,18062,0.131,0.884,135.3,0,0.926,4,92000,18,5724,76.4,0
